dataset,video_key
smanni/train_so100_all,intel_realsense
smanni/train_so100_all_radians,intel_realsense
Loki0929/so100_lan_v20,third
Loki0929/so100_lan,third
alexppppp/lerobot-so100-blue-cap-white-cup,table
shylee/so100_pengripC,FrontCam
Loki0929/so100_duck,third
Loki0929/so100_duck_v20,third
shylee/so100_pengripA,FrontCam
shylee/so100_pengripG,FrontCam
shylee/so100_pengrip,FrontCam
shylee/so100_pengripF,FrontCam
shylee/so100_pengripD,FrontCam
shreyasgite/so100_base_env,laptop
jiuyal2/so100_marker,iphone
dragon-95/so100_sorting_2,phone
ycdamn1988/so100_0420_3,orbbec
samanthalhy/so100_test_3_diff,laptop
dragon-95/so100_sorting_3,phone
DorayakiLin/yzw_so100_stack_cube_v4,third
shylee/so100_gauze,FrontCam
SharkDan/so100_test_f1,new_camera
shylee/so100_cube,FrontCam
shylee/so100_cup,laptop
shylee/so100_dice,laptop
VoicAndrei/so100_rebel_complete,right
xhaka3456/so100_hackerton_0614_1,laptop
sixpigs1/so100_pull_cube_by_tool_error,above
VoicAndrei/so100_cubes_three_cameras,right
ycdamn1988/so100_0517,orbbec
mchen02/so100_test3,laptop
shreyasgite/so100_base_left,laptop
alexppppp/lerobot-so100-bluecapwhitecup,camera_table
VoicAndrei/so100_banana_to_plate_only,right
masato-ka/so100_nlact_block_instruct,front
masato-ka/so100_nlact_block_instruct_v3,front
aaronsu11/so100_snack,front
allenchienxxx/so100_block_mug,phone
sixpigs1/so100_pick_cube_in_box,rightfront
ethanmclark1/so100_test,laptop
kyomangold/so100_ttt_A1_v2,laptop
smanni/train_so100_pick_place_bear,intel_realsense
smanni/train_so100_pick_place_pencil_eraser,intel_realsense
smanni/train_so100_pick_place_pencilsharpener,intel_realsense
pbvr/so101_test002,side
bjb7/so101_pen_mug_merged,camera_4
bjb7/so101_pen_mug_merged_2,camera_4
bjb7/so101_pen_touch_test_merged,camera_4
pbvr/so101_test003,side
1lyz123576/so101_test,phone
Rorschach4153/so101_30_1,side
pbvr/vlsa_so101_test005,side
Rorschach4153/so101_60_new,side
Cornito/so101_tea2,side
pbvr/so101_test004,side
bjb7/so101_pen_touch_test_1,camera_4
bjb7/so101_pen_touch_test_2,camera_4
Jeevesh2009/so101_gray_block_lowvar_test,side
Jeevesh2009/so101_gray_block_midvar_test,side
Jeevesh2009/so101_gray_block_pickup_test,side
Jeevesh2009/so101_new_test,realsense1
Jeevesh2009/so101_test,realsense1
Rorschach4153/so101_30_fold,side
ReubenLim/so101_ball_in_cup,front
Haribot099/so101_d62,laptop
Haribot099/so101_d63,laptop
fbeltrao/so101_unplug_cable_3,side
UCleQmAR/so101_gasp_mesuring_tape,phone
fbeltrao/so101_unplug_cable_4,side
cerealkiller2527/so101_test,samsung_phone
fbeltrao/so101_multi_task,side
